price,postcode,size,kamers,year
235000,1066ET,27,1,1921
400000,1068CM,96,3,1968
475000,1058XV,61,3,1928
275000,1051TV,29,1,1901
315000,1033MC,53,2,1983
425000,1072CA,55,3,1906
275000,1053DD,31,2,1906
435000,1056HP,58,3,1930
350000,1034SM,90,5,1977
450000,1017RJ,55,3,1861
475000,1087GT,81,3,2007
385000,1055CT,48,3,1940
325000,1012EZ,46,2,1705
500000,1012EZ,65,3,1705
745000,1078AR,100,3,1928
585000,1055MB,88,4,1922
340000,1073LH,45,3,1923
400000,1053CL,52,3,1903
300000,1062AL,45,2,1967
475000,1034WE,93,4,1995
400000,1055DE,54,4,1940
380000,1057AL,51,3,1939
625000,1056CK,92,6,1927
425000,1063NM,79,4,1954
625000,1019AG,92,3,2021
365000,1015ND,36,2,1959
565000,1072RX,67,4,1923
599000,1073BT,65,4,1893
375000,1073SC,45,2,1912
475000,1069RR,72,3,2008
235000,1066ET,27,1,1921
400000,1068CM,96,3,1968
475000,1058XV,61,3,1928
275000,1051TV,29,1,1901
315000,1033MC,53,2,1983
425000,1072CA,55,3,1906
275000,1053DD,31,2,1906
435000,1056HP,58,3,1930
350000,1034SM,90,5,1977
450000,1017RJ,55,3,1861
475000,1087GT,81,3,2007
385000,1055CT,48,3,1940
325000,1012EZ,46,2,1705
500000,1012EZ,65,3,1705
745000,1078AR,100,3,1928
585000,1055MB,88,4,1922
340000,1073LH,45,3,1923
400000,1053CL,52,3,1903
300000,1062AL,45,2,1967
475000,1034WE,93,4,1995
400000,1055DE,54,4,1940
380000,1057AL,51,3,1939
625000,1056CK,92,6,1927
425000,1063NM,79,4,1954
625000,1019AG,92,3,2021
365000,1015ND,36,2,1959
565000,1072RX,67,4,1923
599000,1073BT,65,4,1893
375000,1073SC,45,2,1912
475000,1069RR,72,3,2008
235000,1066ET,27,1,1921
400000,1068CM,96,3,1968
475000,1058XV,61,3,1928
275000,1051TV,29,1,1901
315000,1033MC,53,2,1983
425000,1072CA,55,3,1906
275000,1053DD,31,2,1906
435000,1056HP,58,3,1930
350000,1034SM,90,5,1977
450000,1017RJ,55,3,1861
475000,1087GT,81,3,2007
385000,1055CT,48,3,1940
325000,1012EZ,46,2,1705
500000,1012EZ,65,3,1705
745000,1078AR,100,3,1928
585000,1055MB,88,4,1922
340000,1073LH,45,3,1923
400000,1053CL,52,3,1903
300000,1062AL,45,2,1967
475000,1034WE,93,4,1995
400000,1055DE,54,4,1940
380000,1057AL,51,3,1939
625000,1056CK,92,6,1927
425000,1063NM,79,4,1954
625000,1019AG,92,3,2021
365000,1015ND,36,2,1959
565000,1072RX,67,4,1923
599000,1073BT,65,4,1893
375000,1073SC,45,2,1912
475000,1069RR,72,3,2008
235000,1066ET,27,1,1921
400000,1068CM,96,3,1968
475000,1058XV,61,3,1928
275000,1051TV,29,1,1901
315000,1033MC,53,2,1983
425000,1072CA,55,3,1906
275000,1053DD,31,2,1906
435000,1056HP,58,3,1930
350000,1034SM,90,5,1977
450000,1017RJ,55,3,1861
475000,1087GT,81,3,2007
385000,1055CT,48,3,1940
325000,1012EZ,46,2,1705
500000,1012EZ,65,3,1705
745000,1078AR,100,3,1928
585000,1055MB,88,4,1922
340000,1073LH,45,3,1923
400000,1053CL,52,3,1903
300000,1062AL,45,2,1967
475000,1034WE,93,4,1995
400000,1055DE,54,4,1940
380000,1057AL,51,3,1939
625000,1056CK,92,6,1927
425000,1063NM,79,4,1954
625000,1019AG,92,3,2021
365000,1015ND,36,2,1959
565000,1072RX,67,4,1923
599000,1073BT,65,4,1893
375000,1073SC,45,2,1912
475000,1069RR,72,3,2008
235000,1066ET,27,1,1921
400000,1068CM,96,3,1968
475000,1058XV,61,3,1928
275000,1051TV,29,1,1901
315000,1033MC,53,2,1983
425000,1072CA,55,3,1906
275000,1053DD,31,2,1906
435000,1056HP,58,3,1930
350000,1034SM,90,5,1977
450000,1017RJ,55,3,1861
475000,1087GT,81,3,2007
385000,1055CT,48,3,1940
325000,1012EZ,46,2,1705
500000,1012EZ,65,3,1705
745000,1078AR,100,3,1928
585000,1055MB,88,4,1922
340000,1073LH,45,3,1923
400000,1053CL,52,3,1903
300000,1062AL,45,2,1967
475000,1034WE,93,4,1995
400000,1055DE,54,4,1940
380000,1057AL,51,3,1939
625000,1056CK,92,6,1927
425000,1063NM,79,4,1954
625000,1019AG,92,3,2021
365000,1015ND,36,2,1959
565000,1072RX,67,4,1923
599000,1073BT,65,4,1893
375000,1073SC,45,2,1912
475000,1069RR,72,3,2008
235000,1066ET,27,1,1921
400000,1068CM,96,3,1968
475000,1058XV,61,3,1928
275000,1051TV,29,1,1901
315000,1033MC,53,2,1983
425000,1072CA,55,3,1906
275000,1053DD,31,2,1906
435000,1056HP,58,3,1930
350000,1034SM,90,5,1977
450000,1017RJ,55,3,1861
475000,1087GT,81,3,2007
385000,1055CT,48,3,1940
325000,1012EZ,46,2,1705
500000,1012EZ,65,3,1705
745000,1078AR,100,3,1928
585000,1055MB,88,4,1922
340000,1073LH,45,3,1923
400000,1053CL,52,3,1903
300000,1062AL,45,2,1967
475000,1034WE,93,4,1995
400000,1055DE,54,4,1940
380000,1057AL,51,3,1939
625000,1056CK,92,6,1927
425000,1063NM,79,4,1954
625000,1019AG,92,3,2021
365000,1015ND,36,2,1959
565000,1072RX,67,4,1923
599000,1073BT,65,4,1893
375000,1073SC,45,2,1912
475000,1069RR,72,3,2008
235000,1066ET,27,1,1921
400000,1068CM,96,3,1968
475000,1058XV,61,3,1928
275000,1051TV,29,1,1901
315000,1033MC,53,2,1983
425000,1072CA,55,3,1906
275000,1053DD,31,2,1906
435000,1056HP,58,3,1930
350000,1034SM,90,5,1977
450000,1017RJ,55,3,1861
475000,1087GT,81,3,2007
385000,1055CT,48,3,1940
325000,1012EZ,46,2,1705
500000,1012EZ,65,3,1705
745000,1078AR,100,3,1928
585000,1055MB,88,4,1922
340000,1073LH,45,3,1923
400000,1053CL,52,3,1903
300000,1062AL,45,2,1967
475000,1034WE,93,4,1995
400000,1055DE,54,4,1940
380000,1057AL,51,3,1939
625000,1056CK,92,6,1927
425000,1063NM,79,4,1954
625000,1019AG,92,3,2021
365000,1015ND,36,2,1959
565000,1072RX,67,4,1923
599000,1073BT,65,4,1893
375000,1073SC,45,2,1912
475000,1069RR,72,3,2008
235000,1066ET,27,1,1921
400000,1068CM,96,3,1968
475000,1058XV,61,3,1928
275000,1051TV,29,1,1901
315000,1033MC,53,2,1983
425000,1072CA,55,3,1906
275000,1053DD,31,2,1906
435000,1056HP,58,3,1930
350000,1034SM,90,5,1977
450000,1017RJ,55,3,1861
475000,1087GT,81,3,2007
385000,1055CT,48,3,1940
325000,1012EZ,46,2,1705
500000,1012EZ,65,3,1705
745000,1078AR,100,3,1928
585000,1055MB,88,4,1922
340000,1073LH,45,3,1923
400000,1053CL,52,3,1903
300000,1062AL,45,2,1967
475000,1034WE,93,4,1995
400000,1055DE,54,4,1940
380000,1057AL,51,3,1939
625000,1056CK,92,6,1927
425000,1063NM,79,4,1954
625000,1019AG,92,3,2021
365000,1015ND,36,2,1959
565000,1072RX,67,4,1923
599000,1073BT,65,4,1893
375000,1073SC,45,2,1912
475000,1069RR,72,3,2008
235000,1066ET,27,1,1921
400000,1068CM,96,3,1968
475000,1058XV,61,3,1928
275000,1051TV,29,1,1901
315000,1033MC,53,2,1983
425000,1072CA,55,3,1906
275000,1053DD,31,2,1906
435000,1056HP,58,3,1930
350000,1034SM,90,5,1977
450000,1017RJ,55,3,1861
475000,1087GT,81,3,2007
385000,1055CT,48,3,1940
325000,1012EZ,46,2,1705
500000,1012EZ,65,3,1705
745000,1078AR,100,3,1928
585000,1055MB,88,4,1922
340000,1073LH,45,3,1923
400000,1053CL,52,3,1903
300000,1062AL,45,2,1967
475000,1034WE,93,4,1995
400000,1055DE,54,4,1940
380000,1057AL,51,3,1939
625000,1056CK,92,6,1927
425000,1063NM,79,4,1954
625000,1019AG,92,3,2021
365000,1015ND,36,2,1959
565000,1072RX,67,4,1923
599000,1073BT,65,4,1893
375000,1073SC,45,2,1912
475000,1069RR,72,3,2008
235000,1066ET,27,1,1921
